"No.Ferme","Year","TYLOSIN_DCD","CHLORTETRACYCLINE_DCD","BENZYLPENICILLIN_P_DCD","DIHYDROSTREPTOMYCIN_DCD","POLYMYXINB_SULF_DCD","CEFAPIRIN_DCD","PIRLIMYCIN_DCD","CEFTIOFUR_DCD","CLOXACILLIN_DCD","TRIM_SULFADOXINE_DCD","OXYTETRACYCLINE_DCD","AMPICILLIN_DCD","TILMICOSIN_DCD","BENZYLPENICILLIN_B_DCD","ENROFLOXACIN_DCD","DANOFLOXACIN_DCD","TULATHROMYCIN_DCD","GAMITROMYCIN_DCD","TILDIPIROSIN_DCD","MARBOFLOXACIN_DCD","SULFANILAMIDE_DCD","SULFATHIAZOLE_DCD","STREPTOMYCIN_SULF_DCD","SULFAMETHAZINE_DCD","TETRACYCLINE_DCD","NEOMYCIN_SULF_DCD","SULFAMERAZINE_DCD","SULFAGUANIDINE_DCD","SUCCINYLSULFATHIAZOLE_DCD","FLORFENICOL_DCD","TYLOSIN_DDD","CHLORTETRACYCLINE_DDD","BENZYLPENICILLIN_P_DDD","DIHYDROSTREPTOMYCIN_DDD","POLYMYXINB_SULF_DDD","CEFAPIRIN_DDD","PIRLIMYCIN_DDD","CEFTIOFUR_DDD","CLOXACILLIN_DDD","TRIM_SULFADOXINE_DDD","OXYTETRACYCLINE_DDD","AMPICILLIN_DDD","TILMICOSIN_DDD","BENZYLPENICILLIN_B_DDD","ENROFLOXACIN_DDD","DANOFLOXACIN_DDD","TULATHROMYCIN_DDD","GAMITROMYCIN_DDD","TILDIPIROSIN_DDD","MARBOFLOXACIN_DDD","SULFANILAMIDE_DDD","SULFATHIAZOLE_DDD","STREPTOMYCIN_SULF_DDD","SULFAMETHAZINE_DDD","TETRACYCLINE_DDD","NEOMYCIN_SULF_DDD","SULFAMERAZINE_DDD","SULFAGUANIDINE_DDD","SUCCINYLSULFATHIAZOLE_DDD","FLORFENICOL_DDD","total_DCD","total_DDD","cat1_DCD","cat1_DDD","cat2_DCD","cat2_DDD","cat3_DCD","cat3_DDD","PenES_DCD","PenES_DDD","BLResPen_DCD","BLResPen_DDD","BLSensPen_DCD","BLSensPen_DDD","FGCeph_DCD","FGCeph_DDD","TGCeph_DCD","TGCeph_DDD","Fluoro_DCD","Fluoro_DDD","Amph_DCD","Amph_DDD","Macr_DCD","Macr_DDD","Tetr_DCD","Tetr_DDD","Amin_DCD","Amin_DDD","Sulf_DCD","Sulf_DDD","Linco_DCD","Linco_DDD","Poly_DCD","Poly_DDD","TMS_DCD","TMS_DDD"
"10","2016",0,0,77.459777,0,0,5,72,5,0,34.615381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356.7904,0,0,5,360,10,0,138.46152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.075158,870.25192,5,10,189.075158,860.25192,0,0,0,0,0,0,77.459777,356.7904,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,72,360,0,0,34.615381,138.46152
"10","2017",0,0,178.879327,0,0,75,6,33.188775,0,9.375001,34.293555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,897.78223,0,0,750,30,75.625,0,37.4999975,95.41985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,367.736658,1886.3270775,33.188775,75.625,269.254328,1715.2822275,65.293555,219.41985,0,0,0,0,178.879327,897.78223,75,750,33.188775,75.625,0,0,31,124,0,0,34.293555,95.41985,0,0,0,0,6,30,0,0,9.375001,37.4999975
"10","2018",0,0,28.663795,0,0,60,12,2.55102,0,3.60577,51.4403325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.0443525,0,0,330,60,12.5,0,14.4230775,143.129775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.2609175,753.097205,2.55102,12.5,104.269565,597.46743,51.4403325,143.129775,0,0,0,0,28.663795,193.0443525,60,330,2.55102,12.5,0,0,0,0,0,0,51.4403325,143.129775,0,0,0,0,12,60,0,0,3.60577,14.4230775
"10","2019",0,0,38.994255,6.6666675,6.6666675,45,18,18.188775,0,21.634615,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,146.0887,10,10,450,90,45.625,0,86.538455,0,0,697.6745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,286.40098,1535.926655,24.8554425,55.625,230.2955375,1480.301655,31.25,125,0,0,0,0,38.994255,146.0887,45,450,18.188775,45.625,0,0,31.25,125,100,697.6745,0,0,6.6666675,10,0,0,18,90,6.6666675,10,21.634615,86.538455
"10","2020",0,0,38.994255,6.6666675,6.6666675,60,24,18.188775,0,21.634615,8.5733875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.0887,10,10,600,120,45.625,0,86.538455,23.854965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.7243675,1042.10712,24.8554425,55.625,151.2955375,962.627155,8.5733875,23.854965,0,0,0,0,38.994255,146.0887,60,600,18.188775,45.625,0,0,0,0,0,0,8.5733875,23.854965,6.6666675,10,0,0,24,120,6.6666675,10,21.634615,86.538455
"100","2016",0,0,173.114624390244,162.601585365854,162.601585365854,0,58.5365853658537,3.111,51.219512195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09756097560976,0,0,288.158931707317,243.90243902439,243.90243902439,0,292.682926829268,15.2439024390244,512.19512195122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.390243902439,617.282453658537,1596.08576097561,165.712585365854,259.146341463415,445.472307317073,1336.9394195122,6.09756097560976,24.390243902439,0,0,51.219512195122,512.19512195122,173.114624390244,288.158931707317,0,0,3.111,15.2439024390244,0,0,6.09756097560976,24.390243902439,0,0,0,0,162.601585365854,243.90243902439,0,0,58.5365853658537,292.682926829268,162.601585365854,243.90243902439,0,0
"100","2017",0,0,65.0406341463415,65.0406341463415,65.0406341463415,0,228.292682926829,34.8556487804878,58.5365853658537,0,8.36428048780488,3.12695365853659,6.09756097560976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5609756097561,97.5609756097561,97.5609756097561,0,1141.46341463415,128.353658536585,585.365853658537,0,23.2731365853659,15.6347707317073,42.5411219512195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.395614634146,2229.31488292683,99.8962829268293,225.914634146341,426.135051219512,1980.12711219512,8.36428048780488,23.2731365853659,3.12695365853659,15.6347707317073,58.5365853658537,585.365853658537,65.0406341463415,97.5609756097561,0,0,34.8556487804878,128.353658536585,0,0,0,0,6.09756097560976,42.5411219512195,8.36428048780488,23.2731365853659,65.0406341463415,97.5609756097561,0,0,228.292682926829,1141.46341463415,65.0406341463415,97.5609756097561,0,0
"100","2018",0,0,70.2971536585366,65.0406341463415,65.0406341463415,24.390243902439,93.6585365853659,30.8113463414634,43.9024390243902,3.5178243902439,0,0,4.8780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.09756097560976,0,0,119.68922195122,97.5609756097561,97.5609756097561,243.90243902439,468.292682926829,108.536585365854,439.024390243902,14.0712951219512,0,0,34.0329024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.390243902439,407.63442195122,1622.67146829268,95.8519804878049,206.09756097561,305.684880487805,1416.57390731707,6.09756097560976,24.390243902439,0,0,43.9024390243902,439.024390243902,70.2971536585366,119.68922195122,24.390243902439,243.90243902439,30.8113463414634,108.536585365854,0,0,6.09756097560976,24.390243902439,4.8780487804878,34.0329024390244,0,0,65.0406341463415,97.5609756097561,0,0,93.6585365853659,468.292682926829,65.0406341463415,97.5609756097561,3.5178243902439,14.0712951219512
"100","2019",0,0,31.5391097560976,0,0,0,58.5365853658537,0,63.4146341463415,0,0,0,6.09756097560976,0,0,0,0,0,0,0,0,0,0,0,40.6504146341463,0,0,0,0,0,0,0,132.769463414634,0,0,0,292.682926829268,0,634.146341463415,0,0,0,42.5411219512195,0,0,0,0,0,0,0,0,0,0,0,234.521585365854,0,0,0,0,0,200.238304878049,1336.66143902439,0,0,159.587890243902,1102.13985365854,40.6504146341463,234.521585365854,0,0,63.4146341463415,634.146341463415,31.5391097560976,132.769463414634,0,0,0,0,0,0,0,0,6.09756097560976,42.5411219512195,40.6504146341463,234.521585365854,0,0,0,0,58.5365853658537,292.682926829268,0,0,0,0
"100","2020",0,0,31.5391097560976,0,0,0,70.2439024390244,0,65.8536585365854,0,0,0,6.09756097560976,0,0,0,0,0,0,0,0,0,0,0,40.6504146341463,0,0,0,0,0,0,0,132.769463414634,0,0,0,351.219512195122,0,658.536585365854,0,0,0,42.5411219512195,0,0,0,0,0,0,0,0,0,0,0,234.521585365854,0,0,0,0,0,214.384646341463,1419.58826829268,0,0,173.734231707317,1185.06668292683,40.6504146341463,234.521585365854,0,0,65.8536585365854,658.536585365854,31.5391097560976,132.769463414634,0,0,0,0,0,0,0,0,6.09756097560976,42.5411219512195,40.6504146341463,234.521585365854,0,0,0,0,70.2439024390244,351.219512195122,0,0,0,0
