Num_ferme;reliability;debut;fin;duree;Nb_veau;Nb_taure;Nb_vch1;Nb_vch2;Nb_tarie;Nb_taureau;Quota;Nb_VL;autre_anim;autre_veau;autre_vch;autre_eq;F20;autre_pig;autre_ptrum;nb_vch;ncowy;ln_ncowy;produc
1;4.8;19-avr-17;20-avr-18;366;3;34;12;40;16;0;80;52;0;0;0;0;;0;0;68;68.18630137;4.222243685;1.538461538
2;9999;21-avr-17;23-avr-18;367;2;26;11;26;7;0;48;37;1;2;0;0;;0;0;44;44.24109589;3.789654128;1.297297297
3;9999;21-avr-17;23-avr-18;367;6;14;10;23;2;0;34;33;0;0;0;0;;0;0;35;35.19178082;3.560812556;1.03030303
4;5;18-avr-17;20-avr-18;367;5;64;45;46;15;0;95;91;1;0;0;5;;0;0;106;106.5808219;4.668903589;1.043956044
5;5;02-mai-17;10-mai-18;373;11;56;43;43;10;1;88;86;1;0;5;10;;0;0;96;98.10410959;4.586029258;1.023255814
6;5;02-mai-17;07-mai-18;370;10;25;15;50;15;0;53.53;65;0;0;0;0;;0;0;80;81.09589041;4.395632287;0.823538462
7;5;19-avr-17;23-avr-18;369;3;36;19;36;12;0;82;55;0;0;0;0;;0;0;67;67.73424658;4.21559191;1.490909091
8;9999;21-avr-17;23-avr-18;367;8;48;22;46;8;0;86;68;1;1;0;0;;0;0;76;76.41643836;4.336197835;1.264705882
9;5;03-avr-17;13-avr-18;375;5;69;30;51;8;0;110;81;1;4;0;0;;0;0;89;91.43835616;4.515665042;1.358024691
10;9999;18-avr-17;20-avr-18;367;4;19;14;23;3;0;40;37;0;0;0;0;;0;0;40;40.21917808;3.694343949;1.081081081
11;5;28-avr-17;07-mai-18;374;4;41;15;42;14;0;70;57;1;1;0;0;;0;0;71;72.75068493;4.287038321;1.228070175
12;5;02-mai-17;07-mai-18;370;4;25;7;30;5;0;35.8;37;0;0;0;0;;0;0;42;42.57534247;3.75127527;0.967567568
13;9999;19-avr-17;23-avr-18;369;6;33;12;30;13;0;51;42;1;4;2;0;;0;0;55;55.60273973;4.018232476;1.214285714
14;5;03-avr-17;13-avr-18;375;4;35;10;31;6;0;45;41;1;1;0;3;;0;0;47;48.28767123;3.877176274;1.097560976
15;4;18-avr-17;20-avr-18;367;6;20;6;49;6;2;45;55;1;10;10;3;;10;0;61;61.33424658;4.116338359;0.818181818
16;9999;18-avr-17;20-avr-18;367;3;55;18;39;6;0;75;57;1;0;0;0;;6;10;63;63.34520548;4.148599221;1.315789474
17;5;03-avr-17;13-avr-18;375;4;44;13;42;8;0;63.9;55;0;0;0;0;;0;0;63;64.7260274;4.170163399;1.161818182
18;9999;19-avr-17;23-avr-18;369;3;8;12;22;6;0;39;34;0;0;0;0;;0;0;40;40.43835616;3.699778745;1.147058824
19;5;18-avr-17;20-avr-18;367;6;31;10;30;2;0;44.7;40;0;0;0;0;;0;0;42;42.23013699;3.743134113;1.1175
20;9999;19-avr-17;23-avr-18;369;4;39;20;30;4;0;61.2;50;1;0;0;1;;0;0;54;54.59178082;3.999883337;1.224
21;9999;21-avr-17;23-avr-18;367;4;58;18;40;4;0;68.13;58;1;2;0;2;;0;0;62;62.33972603;4.13259888;1.174655172
22;4.5;07-avr-17;12-avr-18;370;5;47;19;31;6;0;60;50;1;1;0;0;;0;0;56;56.76712329;4.038957343;1.2
