"No.Ferme","Year","Route","TYLOSIN_DCD","CHLORTETRACYCLINE_DCD","BENZYLPENICILLIN_P_DCD","DIHYDROSTREPTOMYCIN_DCD","POLYMYXINB_SULF_DCD","CEFAPIRIN_DCD","PIRLIMYCIN_DCD","CEFTIOFUR_DCD","CLOXACILLIN_DCD","TRIM_SULFADOXINE_DCD","OXYTETRACYCLINE_DCD","AMPICILLIN_DCD","TILMICOSIN_DCD","BENZYLPENICILLIN_B_DCD","ENROFLOXACIN_DCD","DANOFLOXACIN_DCD","TULATHROMYCIN_DCD","GAMITROMYCIN_DCD","TILDIPIROSIN_DCD","MARBOFLOXACIN_DCD","SULFANILAMIDE_DCD","SULFATHIAZOLE_DCD","STREPTOMYCIN_SULF_DCD","SULFAMETHAZINE_DCD","TETRACYCLINE_DCD","NEOMYCIN_SULF_DCD","SULFAMERAZINE_DCD","SULFAGUANIDINE_DCD","SUCCINYLSULFATHIAZOLE_DCD","FLORFENICOL_DCD","TYLOSIN_DDD","CHLORTETRACYCLINE_DDD","BENZYLPENICILLIN_P_DDD","DIHYDROSTREPTOMYCIN_DDD","POLYMYXINB_SULF_DDD","CEFAPIRIN_DDD","PIRLIMYCIN_DDD","CEFTIOFUR_DDD","CLOXACILLIN_DDD","TRIM_SULFADOXINE_DDD","OXYTETRACYCLINE_DDD","AMPICILLIN_DDD","TILMICOSIN_DDD","BENZYLPENICILLIN_B_DDD","ENROFLOXACIN_DDD","DANOFLOXACIN_DDD","TULATHROMYCIN_DDD","GAMITROMYCIN_DDD","TILDIPIROSIN_DDD","MARBOFLOXACIN_DDD","SULFANILAMIDE_DDD","SULFATHIAZOLE_DDD","STREPTOMYCIN_SULF_DDD","SULFAMETHAZINE_DDD","TETRACYCLINE_DDD","NEOMYCIN_SULF_DDD","SULFAMERAZINE_DDD","SULFAGUANIDINE_DDD","SUCCINYLSULFATHIAZOLE_DDD","FLORFENICOL_DDD","total_DCD","total_DDD","cat1_DCD","cat1_DDD","cat2_DCD","cat2_DDD","cat3_DCD","cat3_DDD","PenES_DCD","PenES_DDD","BLResPen_DCD","BLResPen_DDD","BLSensPen_DCD","BLSensPen_DDD","FGCeph_DCD","FGCeph_DDD","TGCeph_DCD","TGCeph_DDD","Fluoro_DCD","Fluoro_DDD","Amph_DCD","Amph_DDD","Macr_DCD","Macr_DDD","Tetr_DCD","Tetr_DDD","Amin_DCD","Amin_DDD","Sulf_DCD","Sulf_DDD","Linco_DCD","Linco_DDD","Poly_DCD","Poly_DDD","TMS_DCD","TMS_DDD"
"10","2017","IM_T",0,0,25,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1000,0,0,100,1000,0,0,0,0,0,0,25,250,75,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2018","IM_T",0,0,12.5,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,425,0,0,42.5,425,0,0,0,0,0,0,12.5,125,30,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020","IM_T",0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,600,0,0,60,600,0,0,0,0,0,0,0,0,60,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020","INJ",0,0,32.3275875,0,0,0,0,3.188775,0,21.634615,8.5733875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0887,0,0,0,0,15.625,0,86.538455,23.854965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.724365,262.10712,3.188775,15.625,53.9622025,222.627155,8.5733875,23.854965,0,0,0,0,32.3275875,136.0887,0,0,3.188775,15.625,0,0,0,0,0,0,8.5733875,23.854965,0,0,0,0,0,0,0,0,21.634615,86.538455
"10","2018","IM_L",0,0,0,0,0,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,90,0,0,42,90,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,60,0,0,0,0
"10","2019","IM_T",0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,450,0,0,45,450,0,0,0,0,0,0,0,0,45,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2020","IM_L",0,0,6.6666675,6.6666675,6.6666675,0,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,120,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.0000025,180,21.6666675,40,37.333335,140,0,0,0,0,0,0,6.6666675,10,0,0,15,30,0,0,0,0,0,0,0,0,6.6666675,10,0,0,24,120,6.6666675,10,0,0
"10","2019","INJ",0,0,32.3275875,0,0,0,0,3.188775,0,21.634615,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.25,0,0,136.0887,0,0,0,0,15.625,0,86.538455,0,0,697.6745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,157.1509775,967.176655,3.188775,15.625,153.9622025,920.301655,31.25,31.25,0,0,0,0,32.3275875,136.0887,0,0,3.188775,15.625,0,0,31.25,125,100,697.6745,0,0,0,0,0,0,0,0,0,0,21.634615,86.538455
"10","2016","INJ",0,0,88.793107,0,0,0,0,0,0,34.615381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373.7904,0,0,0,0,0,0,138.46152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.408488,512.25192,0,0,123.408488,512.25192,0,0,0,0,0,0,88.793107,373.7904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.615381,138.46152
"10","2019","IM_L",0,0,6.6666675,6.6666675,6.6666675,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,0,90,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0000025,150,21.6666675,40,31.333335,110,0,0,0,0,0,0,6.6666675,10,0,0,15,30,0,0,0,0,0,0,0,0,6.6666675,10,0,0,18,90,6.6666675,10,0,0
