"No.Ferme","Year","TYLOSIN_DCD","CHLORTETRACYCLINE_DCD","BENZYLPENICILLIN_P_DCD","DIHYDROSTREPTOMYCIN_DCD","POLYMYXINB_SULF_DCD","CEFAPIRIN_DCD","PIRLIMYCIN_DCD","CEFTIOFUR_DCD","CLOXACILLIN_DCD","TRIM_SULFADOXINE_DCD","OXYTETRACYCLINE_DCD","AMPICILLIN_DCD","TILMICOSIN_DCD","BENZYLPENICILLIN_B_DCD","ENROFLOXACIN_DCD","DANOFLOXACIN_DCD","TULATHROMYCIN_DCD","GAMITROMYCIN_DCD","TILDIPIROSIN_DCD","MARBOFLOXACIN_DCD","SULFANILAMIDE_DCD","SULFATHIAZOLE_DCD","STREPTOMYCIN_SULF_DCD","SULFAMETHAZINE_DCD","TETRACYCLINE_DCD","NEOMYCIN_SULF_DCD","SULFAMERAZINE_DCD","SULFAGUANIDINE_DCD","SUCCINYLSULFATHIAZOLE_DCD","TYLOSIN_DDD","CHLORTETRACYCLINE_DDD","BENZYLPENICILLIN_P_DDD","DIHYDROSTREPTOMYCIN_DDD","POLYMYXINB_SULF_DDD","CEFAPIRIN_DDD","PIRLIMYCIN_DDD","CEFTIOFUR_DDD","CLOXACILLIN_DDD","TRIM_SULFADOXINE_DDD","OXYTETRACYCLINE_DDD","AMPICILLIN_DDD","TILMICOSIN_DDD","BENZYLPENICILLIN_B_DDD","ENROFLOXACIN_DDD","DANOFLOXACIN_DDD","TULATHROMYCIN_DDD","GAMITROMYCIN_DDD","TILDIPIROSIN_DDD","MARBOFLOXACIN_DDD","SULFANILAMIDE_DDD","SULFATHIAZOLE_DDD","STREPTOMYCIN_SULF_DDD","SULFAMETHAZINE_DDD","TETRACYCLINE_DDD","NEOMYCIN_SULF_DDD","SULFAMERAZINE_DDD","SULFAGUANIDINE_DDD","SUCCINYLSULFATHIAZOLE_DDD","Nb_veau","Nb_taure","Nb_vch1","Nb_vch2","Nb_tarie","Nb_taureau","Quota","Nb_VL","nb_vch","total_DCD","total_DDD","cat1_DCD","cat1_DDD","cat2_DCD","cat2_DDD","cat3_DCD","cat3_DDD","denom"
"10","2016",0,0,49.1808107936508,0,0,3.17460317460317,45.7142857142857,3.17460317460317,0,21.9780196825397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.533587301587,0,0,3.17460317460317,228.571428571429,6.34920634920635,0,87.9120761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,14,23,3,0,40,37,40,123.222322539683,558.890107936508,3.17460317460317,6.34920634920635,120.047719365079,546.191695238095,0,0,63
"10","2017",0,0,113.574175873016,0,0,47.6190476190476,3.80952380952381,21.0722380952381,0,5.95238158730159,21.7736857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.020463492063,0,0,476.190476190476,19.047619047619,48.015873015873,0,23.8095222222222,60.5840317460318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,14,23,3,0,40,37,40,213.801052698413,1204.01719206349,21.0722380952381,48.015873015873,170.955128888889,1089.06808095238,21.7736857142857,60.5840317460318,63
"10","2018",0,0,18.1992349206349,0,0,38.0952380952381,7.61904761904762,1.61969523809524,0,2.28937777777778,32.6605285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.567842857143,0,0,209.52380952381,38.0952380952381,7.93650793650794,0,9.15750952380952,90.8760476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,14,23,3,0,40,37,40,100.483122222222,484.506161904762,1.61969523809524,7.93650793650794,66.2028984126984,379.3444,32.6605285714286,90.8760476190476,63
"10","2019",0,0,24.7582571428571,4.23280476190476,4.23280476190476,28.5714285714286,11.4285714285714,11.5484285714286,0,13.7362634920635,0,0,63.4920634920635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7547301587302,6.34920634920635,6.34920634920635,285.714285714286,57.1428571428571,28.968253968254,0,54.9450507936508,0,0,442.967936507936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,14,23,3,0,40,37,40,162.000622222222,981.540733333333,15.7812333333333,35.3174603174603,146.219388888889,939.874066666667,0,0,63
"10","2020",0,0,24.7582571428571,4.23280476190476,4.23280476190476,38.0952380952381,15.2380952380952,11.5484285714286,0,13.7362634920635,5.44342063492063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.7547301587302,6.34920634920635,6.34920634920635,380.952380952381,76.1904761904762,28.968253968254,0,54.9450507936508,15.1460095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,14,23,3,0,40,37,40,117.285312698413,668.004520634921,15.7812333333333,35.3174603174603,96.0606587301587,611.191844444444,5.44342063492063,15.1460095238095,63
"100","2016",0,0,107.540903030303,101.010075757576,101.010075757576,0,36.3636363636364,1.93259090909091,31.8181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.007821212121,151.515151515152,151.515151515152,0,181.818181818182,9.46969696969697,318.181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,12,21,8,1,41,33,41,379.675463636364,996.053275757576,102.942666666667,160.984848484848,276.732796969697,830.522972727273,0,0,66
"100","2017",0,0,40.4040303030303,40.4040303030303,40.4040303030303,0,141.818181818182,21.6527515151515,36.3636363636364,0,5.19599242424242,1.94250151515152,3.78787878787879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.6060606060606,60.6060606060606,60.6060606060606,0,709.090909090909,79.7348484848485,363.636363636364,0,14.4575545454545,9.71250909090909,26.4270606060606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,12,21,8,1,41,33,41,331.973033333333,1389.42288181818,62.0567818181818,140.340909090909,264.720259090909,1230.07896363636,5.19599242424242,14.4575545454545,66
"100","2018",0,0,43.6694439393939,40.4040303030303,40.4040303030303,15.1515151515152,58.1818181818182,19.1403818181818,27.2727272727273,2.18531515151515,0,0,3.03030303030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.3523954545454,60.6060606060606,60.6060606060606,151.515151515152,290.909090909091,67.4242424242424,272.727272727273,8.74125909090909,0,0,21.1416515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,12,21,8,1,41,33,41,249.439565151515,1012.56863939394,59.5444121212121,128.030303030303,189.895153030303,879.992881818182,0,0,66
"100","2019",0,0,19.5924772727273,0,0,0,36.3636363636364,0,39.3939393939394,0,0,0,3.78787878787879,0,0,0,0,0,0,0,0,0,0,0,25.2525303030303,0,0,0,0,0,0,82.478,0,0,0,181.818181818182,0,393.939393939394,0,0,0,26.4270606060606,0,0,0,0,0,0,0,0,0,0,0,145.687651515152,0,0,0,0,3,21,12,21,8,1,41,33,41,124.390462121212,834.895742424242,0,0,99.1379318181818,684.662636363636,25.2525303030303,145.687651515152,66
"100","2020",0,0,19.5924772727273,0,0,0,43.6363636363636,0,40.9090909090909,0,0,0,3.78787878787879,0,0,0,0,0,0,0,0,0,0,0,25.2525303030303,0,0,0,0,0,0,82.478,0,0,0,218.181818181818,0,409.090909090909,0,0,0,26.4270606060606,0,0,0,0,0,0,0,0,0,0,0,145.687651515152,0,0,0,0,3,21,12,21,8,1,41,33,41,133.178340909091,886.410893939394,0,0,107.925810606061,736.177787878788,25.2525303030303,145.687651515152,66
"101","2016",0,0,54.2562861386139,13.2013168316832,13.2013168316832,1.98019801980198,26.1386138613861,28.177409009901,0,2.85605445544554,0,0,0,0,0,0,0,1.32013168316832,0,0,0,0.812713366336634,0,2.23246633663366,0,7.33370693069307,0,6.3662801980198,0,0,0,393.284894059406,19.8019801980198,19.8019801980198,1.98019801980198,130.693069306931,86.3861386138614,0,11.4242178217822,0,0,0,0,0,0,0,9.13937623762376,0,0,0,2.61004752475248,0,7.29623465346535,0,26.5781881188119,0,22.2606138613861,0,9,39,19,27,7,0,57,46,53,157.876493663366,740.16782970297,41.3787258415842,106.188118811881,107.086307920792,592.901923762376,9.4114599009901,32.166896039604,101
"101","2017",0,0,89.1942574257426,39.6039504950495,39.6039504950495,3.96039603960396,7.12871287128713,36.6538693069307,0,2.85605445544554,0,1.26935742574257,0,0,0,0,0,0,0,0,0,0,0,4.46493267326733,0,6.91712871287129,0,0,0,0,0,468.819866336634,59.4059405940594,59.4059405940594,3.96039603960396,35.6435643564356,76.2376237623762,0,11.4242178217822,0,6.34678811881188,0,0,0,0,0,0,0,0,0,0,0,14.5924693069307,0,25.0684554455446,0,0,0,9,39,19,27,7,0,57,46,53,231.65260990099,769.816153465347,76.2578198019802,135.643564356436,150.929857425743,610.669228712871,4.46493267326733,14.5924693069307,101
